ID,USER_ID,EXTERNAL_USER_ID,DEVICE_ID,APP_GROUP_ID,APP_GROUP_API_ID,TIME,DISPATCH_ID,SEND_ID,CAMPAIGN_ID,CAMPAIGN_API_ID,MESSAGE_VARIATION_API_ID,CANVAS_ID,CANVAS_API_ID,CANVAS_VARIATION_API_ID,CANVAS_STEP_API_ID,CANVAS_STEP_MESSAGE_VARIATION_API_ID,GENDER,COUNTRY,TIMEZONE,LANGUAGE,EMAIL_ADDRESS,URL,USER_AGENT,IP_POOL,LINK_ID,LINK_ALIAS,ESP,FROM_DOMAIN,IS_AMP,SF_CREATED_AT
yrY4m3zcYDj0mk,1X4oljQKASgtR0V,CWrIM7JIGoq,2xWksArXee9MLU,OkIYT1HbF7u,jYEawQs82hkbAp,2025-04-06 16:07:00.000 -0700,PLVW4YZkbJfvyb,O0UzP9oNfQdq1B,Ze9TMKuruJ4IrEI,8LjjwTI3SCJKEAR,IBn415L0Jwgp6q,,,PbmbUhKpFdb4Sx,,PoR2zzcB6PVVnf,,US,Indian/Chagos,en,tLthr1DU@gmail.com,https://www.example_company.com/c/clearance/-/N-5q0ga?lnk=dNav_clearance,yZT1Zab,0rqA3hZBNA1Jdl,HP5tszq,SNrScp1,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.394 -0800
uJJMSxbmH38DNJ,1XGJZhbgWIzA1Dw,o0V4xzlrVh4,0pVvCtJrTG29Gn,OkIYT1HbF7u,6vWDE4vSg0srnR,2024-05-14 09:51:08.000 -0700,8XAEbqJ8zs4EwY,QF3opGlZU6HtUE,brmVaZKzH79WRlQ,AYRRmRufHFuB5qX,FSwSab3A9DCkiz,,,XGFLP89dl1Eb8T,,7flYMMUsuVTyC5,,US,Europe/Oslo,en,nXQfrlCb@example.com,https://www.example_company.com/,jlKz1m2,95zRgkneUkXqe4,liZvOnZ,vqUxOON,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:59.198 -0800
pSuUIogDlw21mM,1XsE22LS6oOt2md,n3TS4awHn0i,MYEcNNpojSjxGq,JyWFOSKn8bq,ppIczVs8pNDkAq,2025-04-10 18:07:17.000 -0700,9xiHDU1aqH0Dmy,xBGp5Js42jAmro,brmVaZKzH79WRlQ,AYRRmRufHFuB5qX,FSwSab3A9DCkiz,,,KCzFrY0Ve6VuCT,,0KNfTP6fHhI2A2,,US,Europe/Oslo,en,DpP5KiwX@appboy-co.com,https://www.example_company.com/c/redcard/-/N-4tfyn,GCvH8Pt,hK3TuyUS2HUh3g,ELmmze0,2Oc5hnG,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:14:10.873 -0800
1jEbpsihghgV7n,1YE3HagB7NBUtpB,40zBkMyg0XT,I6jHVnxHuFYBHh,OkIYT1HbF7u,ChpXto3YwzZ74p,2025-01-23 23:49:56.000 -0800,x6IkoiGs5TgleI,SaKjTRVj2xl04n,aXBwlxlHWf67tOG,3xMnXxeajZsL6ZC,3TIyuNcnLsga1w,,,NT2xlYH3CsyhV0,,saXBAZ8BAvmIbT,F,US,America/New_York,en,qhvGbmGx@braze.com,https://www.example_company.com/,irpIasG,o5AQRhu6jr01pr,QylWlf3,dYSgBpP,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:14:07.813 -0800
FEVzHjxi9tFw6b,1ZxWHXAJIBEWSLP,Koyhjuy2ea1,XDTUkxnIycYY3U,JyWFOSKn8bq,JW8tGuMAFv6RNf,2024-09-06 21:42:51.000 -0700,NOLd8cbPViJZp8,6UvlcAL3ThlMi6,brmVaZKzH79WRlQ,AYRRmRufHFuB5qX,FSwSab3A9DCkiz,,,QCtQkh0cokpbaM,,nDYvDZL77QmyS9,M,US,Asia/Singapore,en,luXxMigs@braze.com,https://www.example_company.com/c/clearance/-/N-5q0ga?lnk=dNav_clearance,lpDsw4n,7k0pTcWmHXnMyr,r7evv7c,B2kicXT,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.153 -0800
oAqXUpB6CsVgyS,1algTraGNWdvloP,liUokhNrSYY,y9aafWWuvDrgex,OkIYT1HbF7u,54Zjq4ir028Cnh,2023-11-24 22:58:51.000 -0800,Mefw3W9afRecSK,lxOZT029OkHt13,MvpzegpaMv3ol3M,fWaKPnbbhxYY6G7,NIDvGE1MhlOH2M,,,fW4JaTCcm7J8pS,,JWnbTslX3MoTsw,F,US,Indian/Chagos,en,iKwCmNZ5@braze.com,https://www.example_company.com/,0CCJujD,FFOpimQ9ABOmyt,705Rodh,nHrYr3z,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:53.588 -0800
1sdeRcULL7s63Z,1cwaPuJoXmpqdNb,dxbqXveNRlm,qr7qwieYD2OAKW,OkIYT1HbF7u,75TGh3QmD0xcIV,2024-03-23 00:10:10.000 -0700,rqtN6pZgu6hSxd,Q1SUsx8O0HMnE0,MvpzegpaMv3ol3M,fWaKPnbbhxYY6G7,NIDvGE1MhlOH2M,,,7BaIB7ei3d25L8,,Ij6J6wdBEamIKE,,US,Asia/Singapore,en,iCg6gHev@braze.com,https://www.example_company.com/c/redcard/-/N-4tfyn,qzpI8hW,kmeOpyV6vByIVu,ytw77lF,oJrPxgw,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.545 -0800
QoqO0BXR7KKWwL,1foMdNOgKqGiR34,SKp2gu1Sr7C,HzHGYshkyN8ZPa,OkIYT1HbF7u,tdFLE0y5k09RYm,2024-12-01 17:22:25.000 -0800,6VFdMDKsguz6tv,iM12Ff4zqg9h96,brmVaZKzH79WRlQ,AYRRmRufHFuB5qX,FSwSab3A9DCkiz,,,pLynyn4Wc0CIOu,,xST7MoOhF5X087,F,US,Asia/Singapore,en,xjes3AJM@appboy-co.com,https://www.example_company.com/c/same-day-delivery/-/N-bswkz,TXLzZDH,f8wN0BUFFVsjtu,XcHvewe,ydSoet7,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:14:07.692 -0800
SmUhLeEzlhOrSH,1gfeYgbaBp3T3z3,wGuRKwsBRjo,vx9lc0147miltH,JyWFOSKn8bq,hDBXRfKyo7pAya,2024-03-13 14:59:36.000 -0700,1vbFg7x1VRO4e0,YweUsx0ul2GP91,oB23ss81rLGgW74,vgt3wN7sWPbnI4Y,pmpTnlOIDuUJ63,,,G5ulH1itq8A1yx,,Sz0KYAI2zkzViF,F,US,Asia/Singapore,en,mqFxoifn@appboy-co.com,https://www.example_company.com/c/same-day-delivery/-/N-bswkz,VEpxry8,sIXRMFhK4oUFem,m45YKno,S39TXA4,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.477 -0800
eTWY3KFnNHa5UO,1iLM9ls1hmGERlq,JxSPxa0HYFj,Pxsoox3VC1iLPq,OkIYT1HbF7u,guem2MJnnGb3Nd,2024-03-14 04:14:13.000 -0700,zpBAkngjj1ncUZ,RG3lPtqTd2hgFl,Ze9TMKuruJ4IrEI,8LjjwTI3SCJKEAR,IBn415L0Jwgp6q,,,sjRJgsPwjg7Mit,,nTKIGmFTDZPvJj,M,US,Europe/Oslo,en,IE2bwd6t@gmail.com,https://www.example_company.com/,QDz7bFe,kyTcuQFOl737oF,UtKTitY,vfS8pmq,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.477 -0800
0bgpummkdVcPMX,1jtw1XZfm2rgowE,tDh9miWkpAs,zZ85dPCE9KXrvp,JyWFOSKn8bq,HaLZKrgFR7KV0s,2024-11-24 15:28:08.000 -0800,kat6GOeOc75VUo,fMIBDM5r66ybZO,oB23ss81rLGgW74,vgt3wN7sWPbnI4Y,pmpTnlOIDuUJ63,,,ij4Zx0H1lxRJ3r,,nnCMrj95CovsMK,,US,Indian/Chagos,en,DUzEWD5Z@example.com,https://www.example_company.com/,H1Fw1I6,3nUbUz7OuRGoLq,j1OYOGY,uILOVbw,Sparkpost,marketing-emails@company.com,FALSE,2021-12-14 11:13:56.325 -0800
