ID,USER_ID,EXTERNAL_USER_ID,DEVICE_ID,APP_GROUP_ID,APP_GROUP_API_ID,TIME,DISPATCH_ID,SEND_ID,CAMPAIGN_ID,CAMPAIGN_API_ID,MESSAGE_VARIATION_API_ID,CANVAS_ID,CANVAS_API_ID,CANVAS_VARIATION_API_ID,CANVAS_STEP_API_ID,CANVAS_STEP_MESSAGE_VARIATION_API_ID,GENDER,COUNTRY,TIMEZONE,LANGUAGE,EMAIL_ADDRESS,IP_POOL,SF_CREATED_AT
ep1uhN6oTwGRlN,1y14vAjEs84SezL,dLMChf0kAaf,hwrOk5aZgbZ97N,JyWFOSKn8bq,46bhLDp5RjGaRr,2025-02-01 04:25:03.000 -0800,yUUv5GFDivTgLh,80DNdkRYUiDhHy,5EgQTBmtIJf1qSw,74kkOE3Y5ykuYAr,PvxyefpxSXYBMg,,,TlzhtddHIVQMo1,,QaGjS5W4qETC8Y,,US,Asia/Singapore,en,zOskUTH5@appboy-co.com,l7UQSlwznY0N4T,2021-12-14 11:13:59.138 -0800
cYhMDPKcf4bTTM,1yhsYioCIXNKUjw,fwW22tpNaeT,9qNy0h2RWXhnCa,OkIYT1HbF7u,CsY0b4fvAj1UqJ,2024-08-12 01:38:34.000 -0700,8BKcxZqlgdVYKl,AOFGo1GHGovH2q,K0aIMVymi2HTNp7,SKc3PUQ9YauRbrJ,92yR6HPtglfYMk,,,8jVGX94aQOMKaI,,PDgwKrOB6F8ovZ,,US,America/Denver,en,zvzAmI8e@gmail.com,ppeuh90DLioLfM,2021-12-14 11:13:59.697 -0800
Id2ktZ6CuSSB23,21gvlkb81VvKx9A,KR2VnCrD3Gw,ima70uYpaWblUz,JyWFOSKn8bq,o2aVBwozJMNfWD,2025-01-07 19:21:53.000 -0800,DVCPw4AmDb1PIk,yn0lie0UJ3p4Lo,Ze9TMKuruJ4IrEI,8LjjwTI3SCJKEAR,IBn415L0Jwgp6q,,,yYfS0obdit7dXs,,wGNT9RdHGPc3wc,,US,America/New_York,en,0WOgaVgQ@braze-inc.com,k5kSC6DW9onxFW,2021-12-14 11:13:56.249 -0800
NbqqOj1wjY9vPn,0ghPAu2NFab0lTv,TSv86bdB8i7,gpP5IcizbrJXUW,OkIYT1HbF7u,lowm5qLbnwA3rh,2025-03-15 07:02:52.000 -0700,CsVTk2Y8ZgtwjX,aw6v3nYMvq21eY,Ze9TMKuruJ4IrEI,8LjjwTI3SCJKEAR,IBn415L0Jwgp6q,,,QqCTw81KJ51wT4,,LaPr70X08exqwj,M,US,America/Denver,en,6RhGNUOa@braze-inc.com,0f3aXpZ3gP9tZg,2021-12-14 11:13:53.268 -0800
qCwUrvcerSCYIq,1ExZHvbt5FmyTA5,HG97KTjbWyZ,4SZCJknVtq8Azi,OkIYT1HbF7u,H59A6n3b9pFcXG,2024-08-13 13:30:54.000 -0700,DnuVH5wN4iYXYP,udfJk1Pph4kV8E,oB23ss81rLGgW74,vgt3wN7sWPbnI4Y,pmpTnlOIDuUJ63,,,103yPVgZn5aimO,,3zlaYg6BVqLZoC,F,US,Asia/Singapore,en,oP5hOnKW@braze-inc.com,Csg9o5JiOhJMcO,2021-12-14 11:13:59.697 -0800
q4TgZal5QoH7da,2gazF5h9Y7tjdZI,tOtB3GRqprn,MjYjerZRLLmTEW,OkIYT1HbF7u,LCDExT7Miqydr0,2024-01-02 20:06:34.000 -0800,g5Z5vKiIA9iWAZ,OFKBJUMmvM8mYR,CgHtfyv6Gab3zPP,Ynq7dF68DtlNRLx,xCnh3rY5bKG4PP,,,xTktqinprmYAiW,,eAAI80oBHtN1qC,,US,Asia/Singapore,en,HoJzEVdS@appboy-co.com,qK1DdvHIKJGVmM,2021-12-14 11:13:59.281 -0800
v4glN0BiyfPFR0,2hPd5tdStexZIHF,pU9yVCdFSxy,M2SvVfr8vd5HAN,JyWFOSKn8bq,muXObh3cjdRUK1,2025-02-09 15:20:04.000 -0800,GgGQTdESfdto2n,BuBvouHuU4gywb,S8iCiPiSPUTq5fj,2UJenn43fRCXFg8,ryDkt1UTL6Qlkl,,,2ZCouDCJab1rHC,,C1n7HCAB0fIZn1,,US,America/Denver,en,dF0TJuZm@example.com,E6hyVJ45j8SSAG,2021-12-14 11:14:06.210 -0800
0wQa9cBpOc21Dq,0Ij0B7AMdXZJxx7,Wu53fcUKgtc,ys6MjJRIexrFda,OkIYT1HbF7u,uL6KJfMUzU1osF,2025-02-11 19:47:35.000 -0800,Nn3KbGLh0lms95,bm7eHqVD8Kb4T2,brmVaZKzH79WRlQ,AYRRmRufHFuB5qX,FSwSab3A9DCkiz,,,8wUg0ext09m9eN,,wdllVReZeOHSPD,F,US,Europe/Oslo,en,Wf9hXGjk@gmail.com,MeKXOtBAhL6upr,2021-12-14 11:14:06.210 -0800
n1BQVI5ybtPZOL,0VbYVUMA6ON915K,CPpZZwSBvE2,oh1qOj38m2A1KA,OkIYT1HbF7u,DPFhUEgdXZHwfj,2024-11-30 21:03:24.000 -0800,uZhcBUZSt1mCkK,ZlXBweJSG8mVQE,brmVaZKzH79WRlQ,AYRRmRufHFuB5qX,FSwSab3A9DCkiz,,,tWCOyj6lseTCYu,,vNUy80NQIMTxcf,F,US,America/New_York,en,T2aEayfH@braze-inc.com,9BowOOnbzmVrwW,2021-12-14 11:13:56.478 -0800
KLOMWNB3VPgZkT,2nSQBmBGVUxiyI9,v5ymCJfND7U,nrreSIms1X7quk,JyWFOSKn8bq,os6Snu5E6jYeo7,2023-12-28 19:20:49.000 -0800,zceSLx8WVepFIe,8bTQccpE4uiISW,z9K6Mn2xXvL1dEp,eUO50l724rERGDk,3Wg80fScJSx21Y,,,LJKaRItabJz422,,qyEtD02cHLCyv2,F,US,America/New_York,en,1u94gwol@example.com,ARLgwskndYSFvy,2021-12-14 11:13:59.281 -0800
B4PhosQcz7HZx2,2no5IWKZCHNFqWp,IMGtsODv4mW,em1uhkvRidOH5N,OkIYT1HbF7u,uNtBeFmNMOl4KE,2024-02-29 15:38:17.000 -0800,C2UCGLX8fQ3U6t,s6vjiEDOcY1Su1,CgHtfyv6Gab3zPP,Ynq7dF68DtlNRLx,xCnh3rY5bKG4PP,,,tifBeDEccji0MP,,tA9rOAMKhaE7IO,F,US,Asia/Singapore,en,ZKZbic3T@appboy.com,dR7s8Lxbabqbqc,2021-12-14 11:13:59.418 -0800
mujOoqqqLEQxdC,13vCKTd636qvBWJ,ToGjOsGgaUD,0ETPYMrMdqSf9F,JyWFOSKn8bq,3KsFyZOJFfgKWQ,2025-04-29 00:07:19.000 -0700,LxAMpfN3XKzqir,VcCecE0yaewXOa,z9K6Mn2xXvL1dEp,eUO50l724rERGDk,3Wg80fScJSx21Y,,,g3Kb8ubABNh6va,,7SFeSXTNXUfoFp,F,US,Europe/Oslo,en,VdYwn4RG@appboy.com,jB4yxSFpHs7Lab,2021-12-14 11:13:56.249 -0800
SmUhLeEzlhOrSH,1gfeYgbaBp3T3z3,wGuRKwsBRjo,vx9lc0147miltH,JyWFOSKn8bq,hDBXRfKyo7pAya,2024-03-13 14:59:36.000 -0700,1vbFg7x1VRO4e0,YweUsx0ul2GP91,oB23ss81rLGgW74,vgt3wN7sWPbnI4Y,pmpTnlOIDuUJ63,,,G5ulH1itq8A1yx,,Sz0KYAI2zkzViF,F,US,Asia/Singapore,en,mqFxoifn@appboy-co.com,sIXRMFhK4oUFem,2021-12-14 11:13:59.348 -0800
rRI70Aqz8mNv06,1oLLEJpg8znZEt0,KmyqJeEfURb,HYXoWehYpii3uD,OkIYT1HbF7u,GtpZ5A65NhnewX,2025-06-05 03:51:27.000 -0700,oK11gWkIvqP7G0,00hQAiDsrvhfI5,CgHtfyv6Gab3zPP,Ynq7dF68DtlNRLx,xCnh3rY5bKG4PP,,,1t70kDUWevAz4e,,ib1i8M9DG8grOb,,US,Europe/Oslo,en,4GHpVUbI@braze-inc.com,4KWAcQXckhcGge,2021-12-14 11:14:11.115 -0800
